,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,16,"J Shi, Z Yang, D Lo",Efficient and green large language models for software engineering: Vision and the road ahead,2024,ACM Transactions on Software Engineering and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3708525,https://scholar.google.com/scholar?cites=3914827561508016887&as_sdt=2005&sciodt=2007&hl=en,5,2025-04-10 10:45:08,,10.1145/3708525,,,,,,,16,16.0,5,3,1,"… green LLM4SE revolutionizes the LLM-based software engineering … and green LLM4SE by developing comprehensive benchmarks, … costs in LLM-based software engineering tools. …",https://dl.acm.org/doi/pdf/10.1145/3708525,https://scholar.google.com/scholar?q=related:9xKY8OxCVDYJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
6,83,"CS Xia, Y Deng, S Dunn, L Zhang",Agentless: Demystifying llm-based software engineering agents,2024,arXiv preprint arXiv:2407.01489,arxiv.org,https://arxiv.org/abs/2407.01489,https://scholar.google.com/scholar?cites=26214942084608102&as_sdt=2005&sciodt=2007&hl=en,7,2025-04-10 10:45:08,,,,,,,,,83,83.0,21,4,1,… have developed various autonomous LLM agents to perform end-to-end … LLM decide future actions or operate with complex tools. Our results on the popular SWE-bench Lite benchmark …,https://arxiv.org/pdf/2407.01489,https://scholar.google.com/scholar?q=related:ZrDC1lkiXQAJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
8,26,"T Zhang, IC Irsan, F Thung, D Lo",Revisiting sentiment analysis for software engineering in the era of large language models,2025,… Transactions on Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3697009,https://scholar.google.com/scholar?cites=841705662537867052&as_sdt=2005&sciodt=2007&hl=en,9,2025-04-10 10:45:08,,10.1145/3697009,,,,,,,26,26.0,7,4,1,"… for SE-related texts. In the evaluation, they compare SEntiMoji with four SA4SE tools on sentiment polarity benchmark … This aspect reduces the likelihood that it was included in the LLM's …",https://dl.acm.org/doi/full/10.1145/3697009,https://scholar.google.com/scholar?q=related:LB8BLddWrgsJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
9,71,"Z Zheng, K Ning, Q Zhong, J Chen, W Chen…",Towards an understanding of large language models in software engineering tasks,2025,… Software Engineering,Springer,https://link.springer.com/article/10.1007/s10664-024-10602-0,https://scholar.google.com/scholar?cites=17212821053474009642&as_sdt=2005&sciodt=2007&hl=en,10,2025-04-10 10:45:08,,10.1007/s10664-024-10602-0,,,,,,,71,71.0,12,6,1,"… LLM and software engineering. Therefore, we will exclude papers that solely focus on LLM or software engineering. … For example, a benchmark for code generation would still fall under …",https://arxiv.org/pdf/2308.11396,https://scholar.google.com/scholar?q=related:KvKu-ow54O4J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
11,6,"J Li, G Li, X Zhang, Y Zhao, Y Dong…",Evocodebench: An evolving code generation benchmark with domain-specific evaluations,2024,Advances in …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2024/hash/6a059625a6027aca18302803743abaa2-Abstract-Datasets_and_Benchmarks_Track.html,https://scholar.google.com/scholar?cites=5226067679174332295&as_sdt=2005&sciodt=2007&hl=en,12,2025-04-10 10:45:08,,,,,,,,,6,6.0,1,6,1,"… To alleviate the above limitations, we propose a new code generation benchmark named … The larger the DSI, the better an LLM is at that domain. If an LLM’s DSI in a domain exceeds …",https://proceedings.neurips.cc/paper_files/paper/2024/file/6a059625a6027aca18302803743abaa2-Paper-Datasets_and_Benchmarks_Track.pdf,https://scholar.google.com/scholar?q=related:hw9Whd24hkgJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
13,5,"J Cao, Z Chen, J Wu, SC Cheung, C Xu",JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models,2024,… Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3691620.3695470,https://scholar.google.com/scholar?cites=17752533293021418568&as_sdt=2005&sciodt=2007&hl=en,15,2025-04-10 10:45:08,,10.1145/3691620.3695470,,,,,,,5,5.0,1,5,1,… We point out that LLM’s capability to handle OOP features is far behind that of undergraduates. We also identified an optimal context setting with only method signatures provided. Our …,https://arxiv.org/pdf/2406.12902,https://scholar.google.com/scholar?q=related:SFTWGfmqXfYJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
14,206,"S Kang, J Yoon, S Yoo",Large language models are few-shot testers: Exploring llm-based general bug reproduction,2023,… Conference on Software Engineering …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10172763/,https://scholar.google.com/scholar?cites=17840573005231296629&as_sdt=2005&sciodt=2007&hl=en,16,2025-04-10 10:45:08,,,,,,,,,206,103.0,69,3,2,"… experiments on both the Defects4J benchmark and a new report-… We find that, for the Defects4J benchmark, LIBRO can … • We propose a framework to harness an LLM to reproduce bugs…",https://arxiv.org/pdf/2209.11515,https://scholar.google.com/scholar?q=related:dRA89p9ylvcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
15,97,"L Belzner, T Gabor, M Wirsing","Large language model assisted software engineering: prospects, challenges, and a case study",2023,… Conference on Bridging the Gap between …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23,https://scholar.google.com/scholar?cites=11312688239199872805&as_sdt=2005&sciodt=2007&hl=en,17,2025-04-10 10:45:08,,10.1007/978-3-031-46002-9_23,,,,,,,97,48.5,32,3,2,… process between LLM and humans where the LLM generates … will discuss how LLM-assisted software engineering can support … improve the popular HUMANEVAL benchmark [12]. …,https://web.eecs.umich.edu/~movaghar/LLM-Assisted-SE-2023-Review.pdf,https://scholar.google.com/scholar?q=related:JWc_MAS-_pwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
16,20,"CS Xia, Y Deng, L Zhang","Top leaderboard ranking= top coding proficiency, always? evoeval: Evolving coding benchmarks via llm",2024,arXiv preprint arXiv:2403.19114,arxiv.org,https://arxiv.org/abs/2403.19114,https://scholar.google.com/scholar?cites=16534781201472955922&as_sdt=2005&sciodt=2007&hl=en,18,2025-04-10 10:45:08,,,,,,,,,20,20.0,7,3,1,"… to test if the LLM is simply memorizing the benchmark. We can … However instead of directly solving the problem, the LLM can … SWE-Bench [23] for real-world software engineering tasks. …",https://arxiv.org/pdf/2403.19114,https://scholar.google.com/scholar?q=related:Eiaa0OVXd-UJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
17,23,"X Yin, C Ni, S Wang",Multitask-based evaluation of open-source llm on software vulnerability,2024,… Transactions on Software Engineering,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10706805/,https://scholar.google.com/scholar?cites=7684974796547237995&as_sdt=2005&sciodt=2007&hl=en,19,2025-04-10 10:45:08,,,,,,,,,23,23.0,8,3,1,"… on multiple programming languages and various benchmarks. CodeLlama proposed by Rozi`ere … Through comprehensive experiments on four prominent code generation benchmarks, …",https://arxiv.org/pdf/2404.02056,https://scholar.google.com/scholar?q=related:aygHWNyDpmoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
