Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
64,"Y Lyu, Z Li, S Niu, F Xiong, B Tang, W Wang…","Crud-rag: A comprehensive chinese benchmark for retrieval-augmented generation of large language models",2025,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3701228","https://scholar.google.com/scholar?cites=15132728735043516149&as_sdt=2005&sciodt=2007&hl=en",1,"2025-03-20 13:23:25","","10.1145/3701228","","",,,,,64,64.00,9,7,1,"… Given the substantial cost of manual annotation and the large size of our dataset, we initially polished one-fifth of our dataset manually. We will continuously monitor dataset quality …","https://arxiv.org/pdf/2401.17043","https://scholar.google.com/scholar?q=related:9XadnptAAtIJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
35,"P Maini, H Jia, N Papernot…","LLM Dataset Inference: Did you train on my dataset?",2024,"Advances in Neural …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2024/hash/e01519b47118e2f51aa643151350c905-Abstract-Conference.html","https://scholar.google.com/scholar?cites=9660050465752268060&as_sdt=2005&sciodt=2007&hl=en",2,"2025-03-20 13:23:25","","","","",,,,,35,35.00,9,4,1,"… We describe the procedure for LLM dataset inference in four stages (see also visualization in … We use this as a running example to describe the four stages of LLM dataset inference. …","https://proceedings.neurips.cc/paper_files/paper/2024/file/e01519b47118e2f51aa643151350c905-Paper-Conference.pdf","https://scholar.google.com/scholar?q=related:HL2Cq7dkD4YJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
16,"X Yang, K Sun, H Xin, Y Sun, N Bhalla…","CRAG-comprehensive RAG benchmark",2024,"Advances in …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2024/hash/1435d2d0fca85a84d83ddcb754f58c29-Abstract-Datasets_and_Benchmarks_Track.html","https://scholar.google.com/scholar?cites=10094844837685293937&as_sdt=2005&sciodt=2007&hl=en",3,"2025-03-20 13:23:25","","","","",,,,,16,16.00,3,6,1,"… Retrieval-Augmented Generation (RAG) has recently emerged as a promising solution to alleviate Large Language Model (LLM)’s … Our first contribution is the dataset itself (Section 3). …","https://proceedings.neurips.cc/paper_files/paper/2024/file/1435d2d0fca85a84d83ddcb754f58c29-Paper-Datasets_and_Benchmarks_Track.pdf","https://scholar.google.com/scholar?q=related:cfPqJOUXGIwJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
175,"YT Lin, YN Chen","Llm-eval: Unified multi-dimensional automatic evaluation for open-domain conversations with large language models",2023,"arXiv preprint arXiv:2305.13711","arxiv.org","https://arxiv.org/abs/2305.13711","https://scholar.google.com/scholar?cites=15288969027599876775&as_sdt=2005&sciodt=2007&hl=en",4,"2025-03-20 13:23:25","","","","",,,,,175,87.50,88,2,2,"… , ground-truth responses, or multiple LLM prompts, which can be … We extensively evaluate the performance of LLM-Eval on … LLM-Eval offers a versatile and robust solution for evaluating …","https://arxiv.org/pdf/2305.13711","https://scholar.google.com/scholar?q=related:p0IKgFNULdQJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
65,"C White, S Dooley, M Roberts, A Pal, B Feuer…","Livebench: A challenging, contamination-free llm benchmark",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2406.19314","https://scholar.google.com/scholar?cites=15196254264312880947&as_sdt=2005&sciodt=2007&hl=en",5,"2025-03-20 13:23:25","","","","",,,,,65,65.00,11,6,1,"… Similarly, a recent hand-crafted variant of the established math dataset, GSM8K, shows … To lessen dataset contamination, benchmarks using LLM or human prompting and judging …","https://arxiv.org/pdf/2406.19314","https://scholar.google.com/scholar?q=related:M1_ifL3w49IJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
11,"K Zhu, Y Luo, D Xu, R Wang, S Yu, S Wang…","Rageval: Scenario specific rag evaluation dataset generation framework",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2408.01262","https://scholar.google.com/scholar?cites=6231387698896710491&as_sdt=2005&sciodt=2007&hl=en",6,"2025-03-20 13:23:25","","","","",,,,,11,11.00,2,7,1,"… LLM and human evaluations, we compare the completeness, hallucination, and irrelevance metrics reported by the LLM with … We then calculate the metrics and compare them with LLM-…","https://arxiv.org/pdf/2408.01262?","https://scholar.google.com/scholar?q=related:Wyt6yhhWelYJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
36,"J Ni, F Xue, X Yue, Y Deng, M Shah, K Jain…","Mixeval: Deriving wisdom of the crowd from llm benchmark mixtures",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2406.06565","https://scholar.google.com/scholar?cites=15405249102693321608&as_sdt=2005&sciodt=2007&hl=en",7,"2025-03-20 13:23:25","","","","",,,,,36,36.00,5,7,1,"… We uniformly sampled 1000 queries from each LLM benchmark and wild dataset, with a sampling number of 200 for MT-Bench and Arena-Hard due to their smaller sizes. We combined …","https://arxiv.org/pdf/2406.06565","https://scholar.google.com/scholar?q=related:iMtwOnBwytUJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
415,"J Chen, H Lin, X Han, L Sun","Benchmarking large language models in retrieval-augmented generation",2024,"Proceedings of the AAAI Conference on …","ojs.aaai.org","https://ojs.aaai.org/index.php/AAAI/article/view/29728","https://scholar.google.com/scholar?cites=3946244813554043217&as_sdt=2005&sciodt=2007&hl=en",8,"2025-03-20 13:23:25","","","","",,,,,415,415.00,104,4,1,"… In this section, we first introduce the specific retrievalaugmented generation abilities we aim to evaluate. Next, we outline the process of constructing the RAG benchmark for evaluation. …","https://ojs.aaai.org/index.php/AAAI/article/view/29728/31250","https://scholar.google.com/scholar?q=related:Ucmd9L_gwzYJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
21,"N Tihanyi, MA Ferrag, R Jain, T Bisztray…","CyberMetric: a benchmark dataset based on retrieval-augmented generation for evaluating LLMs in cybersecurity knowledge",2024,"… Conference on Cyber …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10679494/","https://scholar.google.com/scholar?cites=1471167318667497934&as_sdt=2005&sciodt=2007&hl=en",9,"2025-03-20 13:23:25","","","","",,,,,21,21.00,4,5,1,"… By utilizing GPT-3.5 and Retrieval-Augmented Generation (RAG), … We have evaluated and compared 25 state-of-the-art LLM models … The CyberMetric dataset is publicly available for the …","https://arxiv.org/pdf/2402.07688","https://scholar.google.com/scholar?q=related:zhFXuuGiahQJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
50,"L Xu, A Li, L Zhu, H Xue, C Zhu, K Zhao, H He…","Superclue: A comprehensive chinese large language model benchmark",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2307.15020","https://scholar.google.com/scholar?cites=9418553980784862945&as_sdt=2005&sciodt=2007&hl=en",10,"2025-03-20 13:23:25","","","","",,,,,50,25.00,6,8,2,"… We first collect a dataset CArena containing user-model interactions with user-reported … We also design a CLOSE dataset based on the Open set, targeting to analyze whether the format …","https://arxiv.org/pdf/2307.15020","https://scholar.google.com/scholar?q=related:4eaFovFstYIJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
